"AgencyID","DBA","Address","City","County","Zip","Agency Phone","Wholesale","Warehouse","Order Day","Week","Delivery Day","Primary Contact","Primary Contact Phone"
"10100","Jungle Jim's","4450 Eastgate S Dr","Cincinnati","Clermont County","45245","513-674-6000","Yes","GPT","Friday","Weekly","Wednesday","Amber Sieg","513-678-3180"
"10109","Ohio Pike Wine and Spirits","919 Ohio Pike 125","Cincinnati","Clermont","45245","513-718-0020","-","GPT","Tuesday","Weekly","Friday","Rinkal Patel","513-404-3908"
"10110","Arrow Wine & Spirits","6061 Radio Way","Mason","Warren County","45040","513-492-8749","-","GPT","Tuesday","Weekly","Friday","Jeff Heath","513-492-8749"
"10111","Red Bank Wine and Spirits","3974 Red Bank Rd","Cincinnati","Hamilton County","45227","513-873-2063","Yes","GPT","Tuesday","Weekly","Friday","Gurdeep Monga","315-269-9260"
"10113","Centerville Liquor & Wine","894 S Main St","Centerville","Montgomery County","45458","937-991-0014","Yes","GPT","Tuesday","Weekly","Friday","Jignesh Patel","937-554-5177"
"10116","The Goods","444 S Washington St","New Bremen","Auglaize","45869","419-629-5001","-","GPT","Thursday","2","Tuesday","Dan Lawrence","937-573-9857"
"10120","Kettering Wine & Spirits","1218 E Stroop Rd","Dayton","Montgomery County","45429","937-999-4064","Yes","GPT","Monday","Weekly","Thursday","UT Trivedi","510-676-0750"
"10125","Kings Mills Wine & Spirits","5271 Kings Mills Rd","Mason","Warren County","45040","513-492-8646","Yes","GPT","Tuesday","Weekly","Friday","Rohit Patel","513-885-6064"
"10500","Liquor and Wine Warehouse","3440 York Commons Blvd","Dayton","Montgomery County","45414","937-387-0099","Yes","GPT","Wednesday","Weekly","Monday","Ravikumar Thota","925-922-2118"
"10501","Cincy Liquors","7617 Reading Rd","Cincinnati","Hamilton County","45237","513-821-4302","Yes","GPT","Tuesday","Weekly","Friday","Suhasini Arutla","513-562-7476"
"10502","Kroger","1 W Corry St","Cincinnati","Hamilton County","45219","513-872-1555","-","GPT","Friday","Weekly","Wednesday","Taylor Haynes","419-953-2787"
"10503","Eaton Wine & Spirits","508 N Barron St","Eaton","Preble County","45320","937-456-3242","Yes","GPT","Thursday","Weekly","Tuesday","ishank patel","770-363-8483"
"10504","Wagner's IGA Market","257 E 4th St","Minster","Auglaize County","45865","(419) 628-3537","Yes","GPT","Thursday","1","Tuesday","Sheila Eilerman","419-953-3677"
